name,price,url
Banana,$0.29,https://www.target.com/p/banana-each-good-38-gather-8482/-/A-15013944#lnk=sametab
Organic Bananas,$2.49,https://www.target.com/p/organic-bananas-2lb-good-38-gather-8482/-/A-85759852#lnk=sametab
Mini Cucumbers,$2.59,https://www.target.com/p/mini-cucumbers-16oz-bag-good-38-gather-8482-packaging-may-vary/-/A-78832377#lnk=sametab
Baby-Cut Carrots,$1.79,https://www.target.com/p/baby-cut-carrots-1lb-good-38-gather-8482/-/A-54556735#lnk=sametab
Tri-Colored Bell Peppers,$3.69,https://www.target.com/p/tri-colored-bell-peppers-16oz-3ct-good-38-gather-8482-packaging-may-vary/-/A-78832378#lnk=sametab
Hass Avocados,$3.89,https://www.target.com/p/hass-avocados-4ct-good-38-gather-8482/-/A-81957708#lnk=sametab
Carrot Sticks,$1.79,https://www.target.com/p/carrot-sticks-12oz-good-gather-8482/-/A-54556746#lnk=sametab
Green Beans,$2.79,https://www.target.com/p/green-beans-12oz-good-gather-8482/-/A-54516414#lnk=sametab
Green Onions,$1.29,https://www.target.com/p/green-onions-5-5oz-good-38-gather-8482/-/A-78873596#lnk=sametab
Steam-in-Bag Spinach,$2.39,https://www.target.com/p/steam-in-bag-spinach-9oz-good-38-gather-8482/-/A-54555623#lnk=sametab
Broccoli Florets,$2.79,https://www.target.com/p/broccoli-florets-12oz-good-gather-8482/-/A-54553288#lnk=sametab
Sun Beams Mandarin Oranges,$5.59,https://www.target.com/p/sun-beams-mandarin-oranges-3lb-good-38-gather-8482/-/A-87689905#lnk=sametab
Celery Sticks,$3.89,https://www.target.com/p/celery-sticks-20oz-good-38-gather-8482-packaging-may-vary/-/A-82691303#lnk=sametab
Mini Sweet Peppers,$3.99,https://www.target.com/p/mini-sweet-peppers-16oz-good-38-gather-8482-packaging-may-vary/-/A-78832376#lnk=sametab
Roma Tomatoes,$1.49,https://www.target.com/p/roma-tomatoes-16oz-good-38-gather-8482-packaging-may-vary/-/A-82667380#lnk=sametab
Sliced White Mushrooms,$1.89,https://www.target.com/p/sliced-white-mushrooms-8oz-good-38-gather-8482/-/A-54567240#lnk=sametab
Yellow Onions,$2.99,https://www.target.com/p/yellow-onions-3lb-bag-good-38-gather-8482/-/A-77788700#lnk=sametab
Organic Gala Apples,$4.29,https://www.target.com/p/organic-gala-apples-2lb-bag-good-38-gather-8482/-/A-85787732#lnk=sametab
Premium Grape Tomatoes,$3.99,https://www.target.com/p/premium-grape-tomatoes-10oz-good-38-gather-8482-packaging-may-vary/-/A-82667184#lnk=sametab
Russet Potatoes,$5.19,https://www.target.com/p/russet-potatoes-5lb-brand-may-vary/-/A-77775602#lnk=sametab
Shredded Green Leaf Lettuce,$2.69,https://www.target.com/p/shredded-green-leaf-lettuce-4-5oz-good-38-gather-8482/-/A-79858156#lnk=sametab
Apple Pears,$6.00,https://www.target.com/p/apple-pears-36oz-3ct-good-38-gather-8482/-/A-79844255#lnk=sametab
French Onion Chopped Salad Kit,$3.99,https://www.target.com/p/french-onion-chopped-salad-kit-10-5oz-good-38-gather-8482/-/A-91191096#lnk=sametab
Beefsteak Tomatoes,$2.99,https://www.target.com/p/beefsteak-tomatoes-13oz-2ct-good-38-gather-8482-packaging-may-vary/-/A-82628083#lnk=sametab
